time,black,white,total,empty,temperature,luminosity,albedo,regulation_error
37,403,497,900,0,16.7609801073085,1.0,0.5261111111111111,5.739019892691498
38,411,487,898,2,16.574234039575813,1.0,0.5208888888888888,5.925765960424187
39,415,484,899,1,16.761011001662723,1.0,0.5190555555555555,5.738988998337277
40,424,476,900,0,17.08304768249236,1.0,0.5144444444444445,5.41695231750764
41,427,471,898,2,17.70204664119568,1.0,0.5119999999999999,4.797953358804321
42,438,461,899,1,18.520344316286778,1.0,0.5062777777777777,3.979655683713222
43,448,450,898,2,19.351086585194434,1.0,0.5003333333333333,3.148913414805566
44,460,440,900,0,20.311643102314086,1.0,0.49444444444444446,2.188356897685914
45,468,431,899,1,21.100217020417116,1.0,0.4896111111111111,1.3997829795828842
46,477,420,897,3,21.845375693126297,1.0,0.48383333333333334,0.6546243068737034
47,480,416,896,4,22.83386212985116,1.0,0.4817777777777777,0.33386212985115904
48,486,410,896,4,23.32878956692968,1.0,0.4784444444444444,0.8287895669296788
49,490,406,896,4,23.997846716831067,1.0,0.47622222222222216,1.4978467168310665
50,504,393,897,3,24.613209506451124,1.0,0.46883333333333327,2.113209506451124
51,513,384,897,3,25.404964526991243,1.0,0.46383333333333326,2.904964526991243
52,521,378,899,1,26.248528476064976,1.0,0.46016666666666667,3.748528476064976
53,528,369,897,3,26.916810134493204,1.0,0.4554999999999999,4.416810134493204
54,528,370,898,2,27.522859436324094,1.0,0.45588888888888884,5.022859436324094
55,533,365,898,2,27.965959085216173,1.0,0.4531111111111111,5.4659590852161735
56,525,373,898,2,28.230084963776694,1.0,0.4575555555555555,5.730084963776694
57,518,381,899,1,27.766829161656304,1.0,0.4618333333333333,5.266829161656304
58,506,392,898,2,26.91929416022585,1.0,0.46811111111111103,4.419294160225849
59,489,407,896,4,25.907081004014184,1.0,0.4767777777777777,3.4070810040141843
60,485,411,896,4,25.013715525324287,1.0,0.4789999999999999,2.5137155253242867
61,477,420,897,3,24.223718376941996,1.0,0.4838333333333333,1.7237183769419957
62,483,414,897,3,23.654994492712298,1.0,0.4805,1.154994492712298
63,472,424,896,4,23.220263373136017,1.0,0.48622222222222217,0.7202633731360173
64,469,430,899,1,22.693917935088578,1.0,0.4890555555555555,0.19391793508857802
65,456,442,898,2,22.06202201830205,1.0,0.4958888888888888,0.43797798169795144
66,457,443,900,0,21.46592406395553,1.0,0.4961111111111111,1.03407593604447
67,458,441,899,1,21.20220961756031,1.0,0.49516666666666664,1.2977903824396897
68,457,441,898,2,21.09644540180429,1.0,0.4953333333333333,1.4035545981957114
69,455,442,897,3,21.12252653496716,1.0,0.4960555555555555,1.377473465032839
70,454,445,899,1,21.004417845624534,1.0,0.4973888888888889,1.495582154375466
71,449,449,898,2,20.71671530116704,1.0,0.4997777777777777,1.7832846988329614
72,456,442,898,2,20.837215196934753,1.0,0.4958888888888889,1.6627848030652466
73,458,440,898,2,20.942093855081453,1.0,0.4947777777777778,1.5579061449185474
74,468,431,899,1,21.32823763242346,1.0,0.4896111111111111,1.171762367576541
75,461,439,900,0,21.626365769576918,1.0,0.4938888888888889,0.8736342304230824
76,464,434,898,2,21.521372849642006,1.0,0.49144444444444446,0.978627150357994
77,467,432,899,1,21.83691536872124,1.0,0.49016666666666664,0.6630846312787604
78,468,430,898,2,21.96035209748281,1.0,0.4892222222222222,0.5396479025171885
79,473,422,895,5,22.407960925015434,1.0,0.4852777777777777,0.09203907498456587
80,477,421,898,2,22.876896585240846,1.0,0.4842222222222222,0.37689658524084635
81,491,406,897,3,23.57621811954626,1.0,0.47605555555555557,1.0762181195462617
82,499,399,898,2,24.323431966767842,1.0,0.47200000000000003,1.823431966767842
83,498,401,899,1,24.889984121954537,1.0,0.47294444444444445,2.3899841219545372
84,505,394,899,1,25.182870160316593,1.0,0.4690555555555555,2.682870160316593
85,506,392,898,2,25.42544368592751,1.0,0.46811111111111103,2.9254436859275117
86,506,391,897,3,25.668953962604448,1.0,0.4677222222222222,3.168953962604448
87,504,395,899,1,25.38833559111819,1.0,0.4696111111111111,2.8883355911181887
88,510,389,899,1,25.388101403351698,1.0,0.46627777777777774,2.8881014033516976
89,499,401,900,0,25.579561103612107,1.0,0.4727777777777778,3.0795611036121073
90,494,404,898,2,25.324419240084644,1.0,0.4747777777777778,2.8244192400846444
91,487,412,899,1,24.793106361063952,1.0,0.4790555555555555,2.293106361063952
92,477,421,898,2,24.140191020969528,1.0,0.48422222222222217,1.640191020969528
93,466,433,899,1,23.44432593444338,1.0,0.49072222222222217,0.9443259344433805
94,460,437,897,3,22.709818709312362,1.0,0.4932777777777778,0.20981870931236202
95,455,442,897,3,22.131768381065793,1.0,0.4960555555555556,0.36823161893420675
96,456,442,898,2,21.57907626766216,1.0,0.4958888888888889,0.9209237323378403
97,453,446,899,1,21.268395680182312,1.0,0.4979444444444444,1.2316043198176878
98,453,444,897,3,20.90294288947745,1.0,0.4971666666666667,1.5970571105225488
99,449,449,898,2,20.719532275408895,1.0,0.4997777777777777,1.7804677245911051
100,455,443,898,2,20.864716691497264,1.0,0.49644444444444447,1.6352833085027356
101,454,446,900,0,20.745047886681657,1.0,0.49777777777777776,1.7549521133183426
102,457,442,899,1,20.842455747639494,1.0,0.4957222222222222,1.6575442523605055
103,459,441,900,0,20.944714130433827,1.0,0.495,1.5552858695661733
104,461,437,898,2,21.109825312366013,1.0,0.49311111111111106,1.390174687633987
105,463,436,899,1,21.52471691416854,1.0,0.4923888888888889,0.9752830858314603
106,461,439,900,0,21.599645021713513,1.0,0.4938888888888889,0.9003549782864866
107,462,438,900,0,21.595217240087628,1.0,0.49333333333333335,0.9047827599123721
108,471,428,899,1,21.908856313438207,1.0,0.4879444444444444,0.591143686561793
109,471,428,899,1,22.198193543469785,1.0,0.4879444444444444,0.30180645653021543
110,472,426,898,2,22.360029423874593,1.0,0.48699999999999993,0.13997057612540686
111,473,427,900,0,22.60711536949521,1.0,0.4872222222222222,0.10711536949521161
112,470,429,899,1,22.460118307120958,1.0,0.4885,0.03988169287904242
113,464,436,900,0,22.16621309948409,1.0,0.4922222222222222,0.33378690051591065
114,475,425,900,0,22.43055974754296,1.0,0.4861111111111111,0.06944025245703855
115,489,411,900,0,22.844935723674002,1.0,0.47833333333333333,0.34493572367400205
116,495,403,898,2,23.60623483645791,1.0,0.47422222222222216,1.1062348364579115
117,501,399,900,0,24.337756106507545,1.0,0.4716666666666667,1.8377561065075447
118,508,392,900,0,25.046146931853603,1.0,0.4677777777777778,2.5461469318536025
119,503,397,900,0,25.515008553777772,1.0,0.47055555555555556,3.015008553777772
120,505,392,897,3,25.538642649058808,1.0,0.4682777777777777,3.038642649058808
121,500,395,895,5,25.47081223694233,1.0,0.4702777777777778,2.9708122369423293
122,498,400,898,2,25.419729765495067,1.0,0.4725555555555555,2.9197297654950667
123,493,405,898,2,24.921093302242262,1.0,0.47533333333333333,2.4210933022422623
124,492,405,897,3,24.662165109847177,1.0,0.47550000000000003,2.1621651098471766
125,488,410,898,2,24.496998045439366,1.0,0.4781111111111111,1.9969980454393657
126,488,409,897,3,24.12533877522965,1.0,0.47772222222222227,1.6253387752296504
127,485,412,897,3,23.96491792885025,1.0,0.4793888888888889,1.4649179288502516
128,482,413,895,5,23.753558249736503,1.0,0.4802777777777778,1.2535582497365034
129,482,413,895,5,23.542137942981043,1.0,0.4802777777777778,1.042137942981043
130,483,416,899,1,23.715893566840442,1.0,0.48127777777777775,1.2158935668404425
131,480,419,899,1,23.697030911571552,1.0,0.4829444444444444,1.1970309115715523
132,482,416,898,2,23.469929782351844,1.0,0.4814444444444444,0.9699297823518442
133,482,415,897,3,23.364620741078436,1.0,0.4810555555555556,0.8646207410784363
134,485,415,900,0,23.479502663292184,1.0,0.48055555555555557,0.9795026632921839
135,484,413,897,3,23.501924874904905,1.0,0.47994444444444445,1.0019248749049048
136,486,411,897,3,23.7665087505068,1.0,0.4788333333333333,1.2665087505068016
137,490,407,897,3,23.81296436136265,1.0,0.4766111111111111,1.3129643613626492
138,489,407,896,4,24.090249155302242,1.0,0.47677777777777774,1.5902491553022422
139,478,418,896,4,24.147875655082796,1.0,0.4828888888888889,1.647875655082796
140,469,430,899,1,23.36027926840657,1.0,0.4890555555555555,0.8602792684065683
141,465,433,898,2,22.68633107911521,1.0,0.4908888888888888,0.18633107911520952
142,469,431,900,0,22.365840031142433,1.0,0.48944444444444446,0.13415996885756698
143,470,429,899,1,22.346353723848786,1.0,0.4885,0.15364627615121407
144,474,424,898,2,22.74996247822762,1.0,0.4858888888888889,0.2499624782276193
145,472,424,896,4,22.758821623841108,1.0,0.4862222222222222,0.25882162384110785
146,478,419,897,3,22.81543721153103,1.0,0.48327777777777775,0.3154372115310302
147,485,413,898,2,23.248171171349085,1.0,0.47977777777777775,0.7481711713490853
148,485,414,899,1,23.483758072795474,1.0,0.48016666666666663,0.9837580727954744
149,481,419,900,0,23.56584855530841,1.0,0.48277777777777775,1.0658485553084098
150,484,415,899,1,23.571190828354602,1.0,0.4807222222222222,1.0711908283546023
151,482,417,899,1,23.416619701512047,1.0,0.48183333333333334,0.9166197015120474
152,482,416,898,2,23.40868741836297,1.0,0.4814444444444444,0.9086874183629696
153,483,414,897,3,23.370386746010396,1.0,0.4804999999999999,0.8703867460103965
154,472,426,898,2,23.32445918367639,1.0,0.48699999999999993,0.8244591836763888
155,468,430,898,2,23.1586835296683,1.0,0.48922222222222217,0.6586835296682985
156,466,432,898,2,22.92611074391895,1.0,0.4903333333333333,0.4261107439189509
157,465,434,899,1,22.381357833777948,1.0,0.49127777777777776,0.11864216622205248
158,462,437,899,1,22.003240911508854,1.0,0.4929444444444444,0.4967590884911459
159,467,432,899,1,21.823108192426893,1.0,0.49016666666666664,0.6768918075731065
160,470,428,898,2,21.856633784189633,1.0,0.48811111111111105,0.6433662158103672
161,475,422,897,3,22.205732590907417,1.0,0.48494444444444434,0.2942674090925834
162,471,427,898,2,22.373408908362105,1.0,0.4875555555555555,0.12659109163789495
163,475,425,900,0,22.509433081972606,1.0,0.4861111111111111,0.009433081972606061
164,485,415,900,0,23.085559145801188,1.0,0.48055555555555557,0.585559145801188
165,484,411,895,5,23.49721412901921,1.0,0.4791666666666667,0.9972141290192091
166,484,413,897,3,23.694800097291754,1.0,0.47994444444444445,1.194800097291754
167,481,419,900,0,23.634298161914035,1.0,0.48277777777777775,1.1342981619140353
168,479,419,898,2,23.428953446754395,1.0,0.48311111111111105,0.9289534467543952
169,482,418,900,0,23.51098479741405,1.0,0.4822222222222222,1.01098479741405
170,483,417,900,0,23.438702700924946,1.0,0.4816666666666667,0.9387027009249458
171,481,418,899,1,23.270043959324106,1.0,0.48238888888888887,0.7700439593241057
172,474,423,897,3,23.264677829564576,1.0,0.48549999999999993,0.764677829564576
173,478,420,898,2,23.07865949387757,1.0,0.48366666666666663,0.57865949387757
174,487,412,899,1,23.301503290197594,1.0,0.4790555555555555,0.8015032901975943
175,493,405,898,2,23.57085167043936,1.0,0.47533333333333333,1.0708516704393602
176,492,406,898,2,23.934858279062553,1.0,0.4758888888888889,1.4348582790625528
177,492,408,900,0,24.107251622605464,1.0,0.4766666666666667,1.6072516226054638
178,492,408,900,0,24.010113023569694,1.0,0.4766666666666667,1.5101130235696942
179,498,401,899,1,24.453174654402222,1.0,0.47294444444444445,1.953174654402222
180,496,401,897,3,25.0063572619388,1.0,0.4732777777777777,2.506357261938799
181,498,402,900,0,25.203301105950082,1.0,0.47333333333333333,2.703301105950082
182,489,410,899,1,24.93510248634126,1.0,0.4779444444444444,2.435102486341261
183,487,413,900,0,24.466614509552077,1.0,0.47944444444444445,1.9666145095520768
184,476,424,900,0,23.89866607288882,1.0,0.4855555555555556,1.398666072888819
185,470,430,900,0,23.088042174712623,1.0,0.4888888888888889,0.5880421747126228
186,465,435,900,0,22.49665807995283,1.0,0.49166666666666664,0.003341920047169822
187,468,431,899,1,22.185167204616143,1.0,0.4896111111111111,0.31483279538385744
188,472,428,900,0,22.142719538766727,1.0,0.48777777777777775,0.35728046123327317
189,476,423,899,1,22.33092398409083,1.0,0.48516666666666663,0.16907601590916954
190,478,420,898,2,22.628265617813604,1.0,0.48366666666666663,0.12826561781360368
191,476,421,897,3,22.96164014291445,1.0,0.4843888888888888,0.461640142914451
192,475,419,894,6,23.153051975474224,1.0,0.4837777777777777,0.6530519754742237
193,474,426,900,0,23.15262738532422,1.0,0.4866666666666667,0.6526273853242195
